longitude, latitude, magnitude, depth,
172.25348,-43.52426,3.036,5,
172.18654,-43.45482,3.71,5.7305,
172.16931,-43.48843,3.163,6.0573,
171.89168,-43.52374,2.496,5,
172.33017,-43.60033,2.604,12,
172.30354,-43.589,2.385,5,
172.19217,-43.45801,2.373,5,
172.17673,-43.51104,2.539,5,
171.87025,-43.57058,3.166,5,
172.3252,-43.55315,2.655,5,
172.19273,-43.44742,2.683,5,
171.93927,-43.56151,3.255,5,
172.12961,-43.54673,2.711,5,
172.18794,-43.54387,2.857,5,
172.21201,-43.6205,3.168,5,
172.34697,-43.60793,2.936,5,
172.43698,-43.65754,3.069,5,
172.23543,-43.61448,2.844,5,
172.31609,-43.56137,2.368,5,
172.30524,-43.5998,3.455,5,
172.22981,-43.57978,3.458,5,
172.30833,-43.59458,2.683,5,
172.33199,-43.58429,2.511,5,
172.31821,-43.56933,2.699,5,
172.34843,-43.54638,3.179,15.6822,
172.28493,-43.60506,2.763,5,
172.28871,-43.5532,2.632,5,
172.22229,-43.60522,2.69,5,
171.90765,-43.57008,3.646,5,
172.37665,-43.56837,3.903,6.0978,
172.29449,-43.47795,2.975,5,
171.85078,-43.52938,3.216,5,
172.3875,-43.56273,3.125,5,
172.16624,-43.54823,2.704,5,
172.36166,-43.55682,2.57,5,
172.20502,-43.61137,2.895,5,
172.16194,-43.58303,2.706,5,
172.19304,-43.57631,2.655,5,
172.14973,-43.5973,3.582,7.7,
171.91478,-43.57524,3.781,5,
172.47136,-43.66494,3.31,12,
172.48384,-43.66145,2.735,12,
172.19788,-43.56808,3.446,5,
172.19904,-43.55554,3.433,5,
172.33727,-43.54528,3.12,5,
172.37135,-43.58549,2.891,5,
172.17018,-43.58612,2.604,5,
172.36192,-43.60576,3.439,5,
172.38495,-43.54853,3.21,5,
172.4039,-43.65635,3.684,8.4045,
172.06012,-43.61989,3.634,5,
172.20894,-43.54391,3.52,5,
172.38116,-43.58281,3.018,5,
172.04465,-43.62014,3.334,5,
172.15585,-43.61858,3.501,5,
172.29646,-43.60065,3.319,5,
172.22212,-43.57833,3.994,17.647,
172.22343,-43.55259,2.97,5,
172.13599,-43.6099,2.745,5,
172.35809,-43.61064,2.819,5,
172.16975,-43.46585,2.844,5,
171.89079,-43.57824,2.91,5,
172.37651,-43.61646,4.202,5,
172.18065,-43.53887,2.904,6.8535,
172.33046,-43.55223,2.615,5,
172.37558,-43.59287,2.628,5,
172.27466,-43.59178,3.323,5,
172.37698,-43.57177,3.889,5,
172.44835,-43.6442,2.985,5,
172.18365,-43.56239,2.713,5,
172.31732,-43.63197,2.871,5,
172.52638,-43.54081,3.251,12,
171.8936,-43.49067,2.659,5,
171.88223,-43.57581,3.506,5,
172.75746,-43.68732,3.163,16.6163,
171.90707,-43.5413,3.072,5,
172.28088,-43.61426,2.577,5,
172.34593,-43.60686,2.902,5,
172.3661,-43.56586,2.9,5,
172.15274,-43.47659,4.304,7.3002,
172.7627,-43.53548,3.573,15.9049,
172.12054,-43.61533,3.501,5,
172.22827,-43.631,3.273,5,
172.32986,-43.57957,2.976,5,
172.1651,-43.507,2.803,5,
172.37297,-43.60941,2.809,5,
171.85692,-43.57724,3.823,5,
172.18533,-43.5396,3.032,5,
171.81586,-43.55323,3.35,5,
172.0305,-43.57235,3.39,5,
172.59633,-43.65122,3.613,17.3693,
172.1777,-43.47255,2.923,5,
172.38771,-43.60907,2.644,5,
172.18854,-43.49167,2.801,5,
172.24487,-43.54424,2.742,5,
172.33963,-43.59902,2.725,5,
172.3369,-43.63424,2.728,5,
172.3372,-43.64513,3.043,5,
172.18221,-43.46634,3.326,5.3891,
172.17674,-43.50951,3.106,6.2158,
172.14719,-43.59712,2.812,5,
172.37801,-43.58355,2.99,5,
172.40578,-43.70949,3.58,5,
171.85904,-43.57548,3.29,5,
172.72781,-43.49788,3.287,25.4488,
172.173,-43.45458,3.306,5,
172.3895,-43.61185,2.803,5,
172.15678,-43.50449,2.987,5,
172.28932,-43.56154,3.198,5,
172.37318,-43.5961,3.325,5,
171.82387,-43.51784,2.657,5,
172.24036,-43.61034,3.124,5,
172.16487,-43.52784,3.246,9.6017,
172.27937,-43.58854,2.924,5,
172.3268,-43.5901,3.935,16.6665,
172.43723,-43.6518,2.681,12,
172.36629,-43.56487,3.326,5,
171.90109,-43.56649,3.508,5,
172.33606,-43.54554,4.1,8.2057,
172.26317,-43.61839,3.489,5,
172.31476,-43.59529,3.834,12,
172.29292,-43.59092,3.061,5,
172.26643,-43.61955,2.81,5,
172.34151,-43.58413,2.838,5,
172.14975,-43.56766,2.772,5,
172.27991,-43.61853,3.8,9.7951,
172.16835,-43.46699,3.594,5.846,
172.78465,-43.69313,2.929,21.1207,
172.4218,-43.61425,3.024,5,
172.35629,-43.5771,3.022,5,
172.37561,-43.56815,3.253,5,
172.18874,-43.55099,3.286,5,
171.97945,-43.53708,3.043,5,
172.43736,-43.65438,3.21,5,
172.17921,-43.62146,3.069,5,
172.24501,-43.59514,3.463,5,
172.53369,-43.65904,3.205,26.6659,
172.1814,-43.59778,2.884,5,
172.1595,-43.61834,3.236,5,
172.28375,-43.61155,2.935,5,
172.14978,-43.50332,2.663,5,
172.31812,-43.58928,3.4,5,
172.13113,-43.63537,3.177,5,
172.25485,-43.60133,3.152,5,
172.15744,-43.61576,3.38,5,
171.76564,-43.54185,3.122,5,
171.75865,-43.53485,3.214,5,
171.90828,-43.54179,2.944,5,
172.15649,-43.51737,2.898,5,
172.18304,-43.4535,3.386,5,
171.74184,-43.54025,2.757,5,
172.33936,-43.57898,2.651,5,
171.89366,-43.59371,2.913,5,
172.03275,-43.58489,2.975,5,
171.85612,-43.57955,2.971,5,
172.94284,-43.72343,3.374,26.1736,
172.31197,-43.55562,2.728,5,
172.12993,-43.59402,3.489,9.4559,
172.36049,-43.59975,3.177,5,
172.16747,-43.4598,3.112,5,
172.38351,-43.55688,3.193,5,
172.19182,-43.59254,2.775,5,
172.20456,-43.57442,2.647,5,
172.19746,-43.52572,3.369,5,
172.35374,-43.59917,3.837,10.4867,
172.15895,-43.48091,2.758,5,
172.42099,-43.6338,2.879,5,
172.22192,-43.57158,2.804,12,
172.19989,-43.59064,2.852,12,
172.31332,-43.55193,2.821,5,
172.2795,-43.5975,2.744,5,
172.12221,-43.59299,2.68,5,
172.19855,-43.57605,2.661,5,
172.37134,-43.61494,3.317,5,
171.87448,-43.57753,3.012,5,
172.1488,-43.55521,2.851,5,
172.16565,-43.61452,2.934,5,
172.36662,-43.60278,2.77,5,
172.30153,-43.59863,2.738,5,
172.34201,-43.66002,3.311,12,
172.27148,-43.61401,2.819,5,
172.32915,-43.64805,2.906,5,
172.19666,-43.57695,3.004,5,
172.50755,-43.63115,2.968,5,
172.16191,-43.51609,2.822,5,
172.05667,-43.60797,2.839,5,
172.25748,-43.6049,2.751,5,
172.37366,-43.82254,2.927,5,
172.53952,-43.52347,3.513,17.4357,
172.20226,-43.63772,2.695,5,
172.53075,-43.52076,2.879,16.0681,
172.40894,-43.59418,2.888,12,
172.06325,-43.62175,3.975,5,
172.17174,-43.49399,3.302,4.5288,
172.28833,-43.56696,2.817,5,
172.4301,-43.57109,2.911,5,
172.14047,-43.52195,2.641,5,
172.39882,-43.60123,3.884,8.4795,
171.9675,-43.57444,3.288,5,
172.1622,-43.46226,2.638,5,
172.37053,-43.57859,3.312,5,
172.28497,-43.61855,2.594,5,
172.3773,-43.57053,2.586,5,
172.33371,-43.61221,2.778,5,
171.91994,-43.56841,3.417,5,
172.04584,-43.59819,3.021,5,
171.87743,-43.55658,3.28,5,
172.38454,-43.58571,3.084,5,
172.24898,-43.62496,3.719,5,
172.33771,-43.63332,2.947,5,
172.0992,-43.45775,2.548,5,
172.12321,-43.58701,2.663,12,
172.46201,-43.62967,2.7,5,
172.23569,-43.59897,2.834,5,
172.26439,-43.6071,2.792,5,
172.09557,-43.51162,2.728,5,
172.33281,-43.60033,2.92,5,
172.40712,-43.62481,3.419,5,
172.26022,-43.60166,3.087,5,
172.26704,-43.53131,2.525,5,
172.14772,-43.60048,2.653,5,
172.2326,-43.61617,3.264,5,
171.94656,-43.5598,3.933,7.0385,
172.32295,-43.61541,3.69,9.7041,
