longitde,latitude,depth,SOM cluster,DBSCAN cluster,KMEAN cluster
172.17453,-43.53228,11.4612,3,0,1
172.15996,-43.57421,6.3511,1,1,0
172.4099,-43.63939,5,1,1,0
172.17426,-43.61273,7.0536,0,1,3
172.18326,-43.48888,5,1,1,0
172.53375,-43.59634,5,1,1,0
171.85555,-43.55144,5,1,1,0
172.16974,-43.65805,5,1,1,0
171.80785,-43.47171,5,1,1,0
172.17085,-43.46582,8.3063,0,1,3
172.37236,-43.56969,5,1,1,0
172.45032,-43.61472,13.7988,3,0,1
172.31941,-43.58999,5,1,1,0
172.30571,-43.56851,5,1,1,0
172.18929,-43.58768,5,1,1,0
172.49506,-43.6457,20.124,2,0,2
172.40564,-43.61221,5,1,1,0
172.41986,-43.56096,13.5174,3,0,1
172.45242,-43.61526,15.2207,2,0,1
172.22,-43.55236,12,3,2,1
172.10144,-43.61153,5.2696,1,1,0
172.34575,-43.50059,5,1,1,0
172.17348,-43.60738,5,1,1,0
172.19696,-43.56356,5,1,1,0
171.9297,-43.54212,5,1,1,0
172.23608,-43.5321,5,1,1,0
172.40091,-43.57224,11.2157,3,0,1
172.18703,-43.4928,5,1,1,0
172.18895,-43.58276,5,1,1,0
172.3363,-43.59666,5,1,1,0
171.85231,-43.58879,5,1,1,0
172.38913,-43.60236,6.4555,1,1,0
172.31636,-43.58377,5,1,1,0
172.18349,-43.46981,5,1,1,0
172.17336,-43.60583,5,1,1,0
172.15353,-43.48799,8.8074,0,1,3
172.41199,-43.59498,24.0081,2,0,2
172.46016,-43.54328,5,1,1,0
172.40691,-43.641,5,1,1,0
172.32739,-43.53981,5,1,1,0
172.36256,-43.57106,5,1,1,0
172.14088,-43.57564,5,1,1,0
172.40193,-43.59243,5,1,1,0
172.15903,-43.59767,5,1,1,0
172.18257,-43.60129,5,1,1,0
172.1563,-43.62478,5,1,1,0
172.31198,-43.58831,5,1,1,0
172.22591,-43.59649,5,1,1,0
171.89012,-43.60089,5,1,1,0
172.42899,-43.62254,5,1,1,0
172.19344,-43.54403,5,1,1,0
172.19826,-43.53819,5,1,1,0
172.37079,-43.55818,5,1,1,0
172.28946,-43.56815,5,1,1,0
172.21309,-43.59621,5,1,1,0
172.51782,-43.56116,17.2056,2,0,1
172.27338,-43.61273,5,1,1,0
172.17668,-43.61364,5,1,1,0
171.87485,-43.58384,5,1,1,0
172.38423,-43.62786,5,1,1,0
172.4046,-43.54137,5,1,1,0
172.33609,-43.60838,5,1,1,0
172.34029,-43.58985,5,1,1,0
172.37001,-43.62367,5,1,1,0
172.46312,-43.65911,7.35,0,1,3
172.35254,-43.57971,5,1,1,0
172.15016,-43.57456,5,1,1,0
172.43527,-43.61401,5,1,1,0
172.15356,-43.62331,5,1,1,0
172.33922,-43.57684,5,1,1,0
172.42149,-43.57253,8.9695,0,1,3
172.14856,-43.48272,5,1,1,0
172.33237,-43.57183,5,1,1,0
172.13287,-43.58955,5,1,1,0
172.37572,-43.58193,5,1,1,0
172.31616,-43.59349,5,1,1,0
172.60268,-43.59968,14.2471,2,0,1
172.18788,-43.62982,5,1,1,0
172.37469,-43.58495,9.5133,0,1,3
172.4133,-43.53983,5,1,1,0
172.36118,-43.63866,5,1,1,0
172.04335,-43.60528,5,1,1,0
172.10158,-43.51501,11.8518,0,2,1
172.42204,-43.57153,14.3857,3,0,1
171.89587,-43.55279,5,1,1,0
172.17453,-43.50886,8.7228,0,1,3
172.29117,-43.59851,8.6594,0,1,3
172.12694,-43.53466,9.666,0,1,3
172.19431,-43.49708,5,1,1,0
172.17816,-43.50919,7.7167,0,1,3
172.0896,-43.50986,5,1,1,0
172.25542,-43.61336,5,1,1,0
172.0882,-43.64809,5,1,1,0
172.17412,-43.51949,8.2659,0,1,3
172.25348,-43.52426,5,1,1,0
172.18654,-43.45482,5.7305,1,1,0
172.16931,-43.48843,6.0573,1,1,0
171.89168,-43.52374,5,1,1,0
172.33017,-43.60033,12,3,2,1
172.30354,-43.589,5,1,1,0
172.19217,-43.45801,5,1,1,0
172.17673,-43.51104,5,1,1,0
171.87025,-43.57058,5,1,1,0
172.3252,-43.55315,5,1,1,0
172.19273,-43.44742,5,1,1,0
171.93927,-43.56151,5,1,1,0
172.12961,-43.54673,5,1,1,0
172.18794,-43.54387,5,1,1,0
172.21201,-43.6205,5,1,1,0
172.34697,-43.60793,5,1,1,0
172.43698,-43.65754,5,1,1,0
172.23543,-43.61448,5,1,1,0
172.31609,-43.56137,5,1,1,0
172.30524,-43.5998,5,1,1,0
172.22981,-43.57978,5,1,1,0
172.30833,-43.59458,5,1,1,0
172.33199,-43.58429,5,1,1,0
172.31821,-43.56933,5,1,1,0
172.34843,-43.54638,15.6822,3,0,1
172.28493,-43.60506,5,1,1,0
172.28871,-43.5532,5,1,1,0
172.22229,-43.60522,5,1,1,0
171.90765,-43.57008,5,1,1,0
172.37665,-43.56837,6.0978,1,1,0
172.29449,-43.47795,5,1,1,0
171.85078,-43.52938,5,1,1,0
172.3875,-43.56273,5,1,1,0
172.16624,-43.54823,5,1,1,0
172.36166,-43.55682,5,1,1,0
172.20502,-43.61137,5,1,1,0
172.16194,-43.58303,5,1,1,0
172.19304,-43.57631,5,1,1,0
172.14973,-43.5973,7.7,0,1,3
171.91478,-43.57524,5,1,1,0
172.47136,-43.66494,12,3,2,1
172.48384,-43.66145,12,3,2,1
172.19788,-43.56808,5,1,1,0
172.19904,-43.55554,5,1,1,0
172.33727,-43.54528,5,1,1,0
172.37135,-43.58549,5,1,1,0
172.17018,-43.58612,5,1,1,0
172.36192,-43.60576,5,1,1,0
172.38495,-43.54853,5,1,1,0
172.4039,-43.65635,8.4045,0,1,3
172.06012,-43.61989,5,1,1,0
172.20894,-43.54391,5,1,1,0
172.38116,-43.58281,5,1,1,0
172.04465,-43.62014,5,1,1,0
172.15585,-43.61858,5,1,1,0
172.29646,-43.60065,5,1,1,0
172.22212,-43.57833,17.647,2,0,1
172.22343,-43.55259,5,1,1,0
172.13599,-43.6099,5,1,1,0
172.35809,-43.61064,5,1,1,0
172.16975,-43.46585,5,1,1,0
171.89079,-43.57824,5,1,1,0
172.37651,-43.61646,5,1,1,0
172.18065,-43.53887,6.8535,0,1,3
172.33046,-43.55223,5,1,1,0
172.37558,-43.59287,5,1,1,0
172.27466,-43.59178,5,1,1,0
172.37698,-43.57177,5,1,1,0
172.44835,-43.6442,5,1,1,0
172.18365,-43.56239,5,1,1,0
172.31732,-43.63197,5,1,1,0
172.52638,-43.54081,12,3,2,1
171.8936,-43.49067,5,1,1,0
171.88223,-43.57581,5,1,1,0
172.75746,-43.68732,16.6163,2,0,1
171.90707,-43.5413,5,1,1,0
172.28088,-43.61426,5,1,1,0
172.34593,-43.60686,5,1,1,0
172.3661,-43.56586,5,1,1,0
172.15274,-43.47659,7.3002,0,1,3
172.7627,-43.53548,15.9049,2,0,1
172.12054,-43.61533,5,1,1,0
172.22827,-43.631,5,1,1,0
172.32986,-43.57957,5,1,1,0
172.1651,-43.507,5,1,1,0
172.37297,-43.60941,5,1,1,0
171.85692,-43.57724,5,1,1,0
172.18533,-43.5396,5,1,1,0
171.81586,-43.55323,5,1,1,0
172.0305,-43.57235,5,1,1,0
172.59633,-43.65122,17.3693,2,0,1
172.1777,-43.47255,5,1,1,0
172.38771,-43.60907,5,1,1,0
172.18854,-43.49167,5,1,1,0
172.24487,-43.54424,5,1,1,0
172.33963,-43.59902,5,1,1,0
172.3369,-43.63424,5,1,1,0
172.3372,-43.64513,5,1,1,0
172.18221,-43.46634,5.3891,1,1,0
172.17674,-43.50951,6.2158,1,1,0
172.14719,-43.59712,5,1,1,0
172.37801,-43.58355,5,1,1,0
172.40578,-43.70949,5,1,1,0
171.85904,-43.57548,5,1,1,0
172.72781,-43.49788,25.4488,2,0,2
172.173,-43.45458,5,1,1,0
172.3895,-43.61185,5,1,1,0
172.15678,-43.50449,5,1,1,0
172.28932,-43.56154,5,1,1,0
172.37318,-43.5961,5,1,1,0
171.82387,-43.51784,5,1,1,0
172.24036,-43.61034,5,1,1,0
172.16487,-43.52784,9.6017,0,1,3
172.27937,-43.58854,5,1,1,0
172.3268,-43.5901,16.6665,2,0,1
172.43723,-43.6518,12,3,2,1
172.36629,-43.56487,5,1,1,0
171.90109,-43.56649,5,1,1,0
172.33606,-43.54554,8.2057,0,1,3
172.26317,-43.61839,5,1,1,0
172.31476,-43.59529,12,3,2,1
172.29292,-43.59092,5,1,1,0
172.26643,-43.61955,5,1,1,0
172.34151,-43.58413,5,1,1,0
172.14975,-43.56766,5,1,1,0
172.27991,-43.61853,9.7951,0,1,3
172.16835,-43.46699,5.846,1,1,0
172.78465,-43.69313,21.1207,2,0,2
172.4218,-43.61425,5,1,1,0
172.35629,-43.5771,5,1,1,0
172.37561,-43.56815,5,1,1,0
172.18874,-43.55099,5,1,1,0
171.97945,-43.53708,5,1,1,0
172.43736,-43.65438,5,1,1,0
172.17921,-43.62146,5,1,1,0
172.24501,-43.59514,5,1,1,0
172.53369,-43.65904,26.6659,2,0,2
172.1814,-43.59778,5,1,1,0
172.1595,-43.61834,5,1,1,0
172.28375,-43.61155,5,1,1,0
172.14978,-43.50332,5,1,1,0
172.31812,-43.58928,5,1,1,0
172.13113,-43.63537,5,1,1,0
172.25485,-43.60133,5,1,1,0
172.15744,-43.61576,5,1,1,0
171.76564,-43.54185,5,1,1,0
171.75865,-43.53485,5,1,1,0
171.90828,-43.54179,5,1,1,0
172.15649,-43.51737,5,1,1,0
172.18304,-43.4535,5,1,1,0
171.74184,-43.54025,5,1,1,0
172.33936,-43.57898,5,1,1,0
171.89366,-43.59371,5,1,1,0
172.03275,-43.58489,5,1,1,0
171.85612,-43.57955,5,1,1,0
172.94284,-43.72343,26.1736,2,0,2
172.31197,-43.55562,5,1,1,0
172.12993,-43.59402,9.4559,0,1,3
172.36049,-43.59975,5,1,1,0
172.16747,-43.4598,5,1,1,0
172.38351,-43.55688,5,1,1,0
172.19182,-43.59254,5,1,1,0
172.20456,-43.57442,5,1,1,0
172.19746,-43.52572,5,1,1,0
172.35374,-43.59917,10.4867,3,1,3
172.15895,-43.48091,5,1,1,0
172.42099,-43.6338,5,1,1,0
172.22192,-43.57158,12,3,2,1
172.19989,-43.59064,12,3,2,1
172.31332,-43.55193,5,1,1,0
172.2795,-43.5975,5,1,1,0
172.12221,-43.59299,5,1,1,0
172.19855,-43.57605,5,1,1,0
172.37134,-43.61494,5,1,1,0
171.87448,-43.57753,5,1,1,0
172.1488,-43.55521,5,1,1,0
172.16565,-43.61452,5,1,1,0
172.36662,-43.60278,5,1,1,0
172.30153,-43.59863,5,1,1,0
172.34201,-43.66002,12,3,2,1
172.27148,-43.61401,5,1,1,0
172.32915,-43.64805,5,1,1,0
172.19666,-43.57695,5,1,1,0
172.50755,-43.63115,5,1,1,0
172.16191,-43.51609,5,1,1,0
172.05667,-43.60797,5,1,1,0
172.25748,-43.6049,5,1,1,0
172.37366,-43.82254,5,1,1,0
172.53952,-43.52347,17.4357,2,0,1
172.20226,-43.63772,5,1,1,0
172.53075,-43.52076,16.0681,2,0,1
172.40894,-43.59418,12,3,2,1
172.06325,-43.62175,5,1,1,0
172.17174,-43.49399,4.5288,1,1,0
172.28833,-43.56696,5,1,1,0
172.4301,-43.57109,5,1,1,0
172.14047,-43.52195,5,1,1,0
172.39882,-43.60123,8.4795,0,1,3
171.9675,-43.57444,5,1,1,0
172.1622,-43.46226,5,1,1,0
172.37053,-43.57859,5,1,1,0
172.28497,-43.61855,5,1,1,0
172.3773,-43.57053,5,1,1,0
172.33371,-43.61221,5,1,1,0
171.91994,-43.56841,5,1,1,0
172.04584,-43.59819,5,1,1,0
171.87743,-43.55658,5,1,1,0
172.38454,-43.58571,5,1,1,0
172.24898,-43.62496,5,1,1,0
172.33771,-43.63332,5,1,1,0
172.0992,-43.45775,5,1,1,0
172.12321,-43.58701,12,3,2,1
172.46201,-43.62967,5,1,1,0
172.23569,-43.59897,5,1,1,0
172.26439,-43.6071,5,1,1,0
172.09557,-43.51162,5,1,1,0
172.33281,-43.60033,5,1,1,0
172.40712,-43.62481,5,1,1,0
172.26022,-43.60166,5,1,1,0
172.26704,-43.53131,5,1,1,0
172.14772,-43.60048,5,1,1,0
172.2326,-43.61617,5,1,1,0
171.94656,-43.5598,7.0385,1,1,3
172.32295,-43.61541,9.7041,0,1,3
172.342,-43.62397,5,1,1,0
172.41013,-43.62014,9.33,0,1,3
172.04649,-43.61341,5,1,1,0
