publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype, depthtype,evaluationmethod, evaluationstatus, evaluationmode, earthmodel, usedphasecount,usedstationcount,magnitudestationcount, minimumdistance,azimuthalgap,originerror,magnitudeuncertainty,distance
3750072,earthquake,2010-09-03T17:13:41.720Z,2013-07-16T14:51:00.000Z,172.4102,-43.60401,4.301,8.8772,ML,,GROPE,reviewed,,nz1dr,22,14,36,0.023,126,0.31566,0.331,21.30084787
3750085,earthquake,2010-09-03T17:14:18.600Z,2013-07-16T14:51:00.000Z,171.96031,-43.51437,3.95,5,ML,operator assigned,GROPE,reviewed,,nz1dr,11,6,11,0.106,142,0.21316,0.143,16.80294348
3750096,earthquake,2010-09-03T17:15:07.043Z,2013-07-16T14:51:00.000Z,172.43463,-43.63962,3.587,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,5,0.151,204,0.05269,0.131,24.84725792
3750100,earthquake,2010-09-03T17:15:37.398Z,2013-07-16T14:51:00.000Z,172.32454,-43.59659,3.547,5,ML,operator assigned,GROPE,reviewed,,nz1dr,10,5,6,0.193,188,0.43335,0.243,14.78379934
3366163,earthquake,2010-09-03T17:17:03.937Z,2013-07-16T14:04:00.000Z,172.44044,-43.66763,3.753,5,ML,operator assigned,GROPE,reviewed,,nz1dr,9,4,3,0.16,214,0.1214,0.187,26.92540903
3750105,earthquake,2010-09-03T17:17:16.526Z,2013-07-16T14:51:00.000Z,172.49609,-43.6358,4.203,18.0402,ML,,GROPE,reviewed,,nz1dr,10,6,26,0.11,143,0.33479,0.277,29.05485555
3750586,earthquake,2010-09-03T17:18:06.668Z,2013-07-16T14:51:00.000Z,172.37679,-43.59209,4.529,10,ML,operator assigned,GROPE,reviewed,,nz1dr,19,11,10,0.155,142,0.23689,0.312,18.30553655
3750618,earthquake,2010-09-03T17:18:21.495Z,2013-07-16T14:51:00.000Z,172.1541,-43.59937,4.728,8.3859,ML,,GROPE,reviewed,,nz1dr,32,18,10,0.049,154,0.28889,0.22,8.089931266
3750629,earthquake,2010-09-03T17:18:37.805Z,2013-07-16T14:51:00.000Z,172.18248,-43.58258,5.05,5.7404,ML,,GROPE,reviewed,,nz1dr,30,22,41,0.068,87,0.26641,0.26,6.256440044
3752115,earthquake,2010-09-03T17:20:54.873Z,2013-07-16T14:51:00.000Z,171.90456,-43.5519,4.19,10.477,ML,,GROPE,reviewed,,nz1dr,13,8,29,0.182,149,0.22302,0.27,21.40509801
3752125,earthquake,2010-09-03T17:21:41.443Z,2013-07-16T14:51:00.000Z,171.92424,-43.5533,4.202,7.6136,ML,,GROPE,reviewed,,nz1dr,16,8,22,0.028,148,0.24561,0.25,19.8546588
